"question","categorie","difficulte","option_a","option_b","option_c","option_d","option_e","correct_option"
"En analyse spatiale, quel est le rôle de la GWR ?","analyse spatiale","avancé","autoriser des coefficients locaux variables","Ignorer les coordonnées géographiques","Supposer une absence totale de biais spatial","Confondre distance réseau et distance euclidienne","Ne jamais valider les résidus spatiaux","A"
"Quelle proposition décrit le mieux le surajustement local ?","analyse spatiale","intermédiaire","décrire un risque des modèles locaux","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"Pourquoi utilise-t-on l’effet de bord en pratique ?","analyse spatiale","intermédiaire","signaler un biais près des limites","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"Quel objectif est lié à la distance réseau ?","analyse spatiale","facile","suivre les routes plutôt que la ligne droite","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
"zone de chalandise sert surtout à ...","analyse spatiale","facile","mesurer l’accessibilité d’un service","Ignorer les coordonnées géographiques","Supposer une absence totale de biais spatial","Confondre distance réseau et distance euclidienne","Ne jamais valider les résidus spatiaux","A"
"En analyse spatiale, quel est le rôle du raster de friction ?","analyse spatiale","intermédiaire","modéliser un coût de déplacement","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"Quelle proposition décrit le mieux la grille hexagonale ?","analyse spatiale","intermédiaire","réduire certains biais directionnels","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"Pourquoi utilise-t-on la point pattern analysis en pratique ?","analyse spatiale","intermédiaire","étudier la répartition de points dans l’espace","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
"Quel objectif est lié à Ripley K ?","analyse spatiale","avancé","évaluer l’agrégation selon plusieurs échelles","Ignorer les coordonnées géographiques","Supposer une absence totale de biais spatial","Confondre distance réseau et distance euclidienne","Ne jamais valider les résidus spatiaux","A"
"analyse multiéchelle sert surtout à ...","analyse spatiale","intermédiaire","comparer les phénomènes à diverses résolutions","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"En analyse spatiale, quel est le rôle du MAUP ?","analyse spatiale","avancé","montrer l’impact du découpage spatial","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"Quelle proposition décrit le mieux l’anisotropie ?","analyse spatiale","avancé","indiquer une dépendance différente selon la direction","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
"Pourquoi utilise-t-on le modèle bayésien spatial en pratique ?","analyse spatiale","avancé","intégrer dépendance et incertitude","Ignorer les coordonnées géographiques","Supposer une absence totale de biais spatial","Confondre distance réseau et distance euclidienne","Ne jamais valider les résidus spatiaux","A"
"Quel objectif est lié à la validation croisée spatiale ?","analyse spatiale","avancé","éviter la fuite spatiale train-test","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"fuite spatiale sert surtout à ...","analyse spatiale","avancé","dégrader la validité de l’évaluation ML","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"En analyse spatiale, quel est le rôle du downscaling ?","analyse spatiale","avancé","passer d’une résolution grossière à fine","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
"Quelle proposition décrit le mieux l’upscaling ?","analyse spatiale","avancé","agréger des données fines vers plus large","Ignorer les coordonnées géographiques","Supposer une absence totale de biais spatial","Confondre distance réseau et distance euclidienne","Ne jamais valider les résidus spatiaux","A"
"Pourquoi utilise-t-on la connectivité spatiale en pratique ?","analyse spatiale","intermédiaire","étudier la continuité entre zones","Supposer que la proximité n’a aucun effet","Mélanger train et test sur des zones voisines","Ne pas vérifier la projection des données","Ignorer les effets de bord","A"
"Quel objectif est lié au réseau spatial ?","analyse spatiale","intermédiaire","représenter nœuds et liens géolocalisés","Utiliser une seule échelle sans comparaison","Confondre hotspot et simple moyenne élevée","Éviter toute matrice de voisinage","Interdire la validation croisée spatiale","A"
"carte de résidus sert surtout à ...","analyse spatiale","intermédiaire","diagnostiquer les zones mal expliquées","Remplacer toute modélisation par une carte descriptive","Supposer un échantillonnage toujours représentatif","Ne jamais contrôler l’autocorrélation résiduelle","Ignorer le MAUP","A"
"À quoi sert un test du chi2 sur un tableau de contingence ?","statistiques","facile","Tester l’indépendance entre deux variables","Calculer une moyenne","Mesurer la variance","Vérifier la normalité","Comparer deux médianes","A"
"À quoi sert un test du chi2 sur un tableau de contingence ?","statistiques","intermédiaire","Tester l’indépendance entre deux variables catégorielles","Estimer un paramètre de régression","Vérifier la linéarité","Calculer un intervalle de confiance","Détecter des valeurs extrêmes","A"

"Dans quel cas utilise-t-on un test du chi2 ?","statistiques","facile","Pour tester l’indépendance entre deux variables catégorielles","Pour calculer une moyenne","Pour vérifier la normalité","Pour comparer deux variances","Pour estimer une proportion","A"
"Quel test permet de comparer la moyenne de deux groupes indépendants ?","statistiques","facile","Le test t de Student","Le test du chi2","Le test de Mann-Whitney","Le test de Kolmogorov-Smirnov","Le test de Kruskal-Wallis","A"
"Quel test non paramétrique compare la médiane de plusieurs groupes ?","statistiques","intermédiaire","Le test de Kruskal-Wallis","Le test t de Student","Le test du chi2","Le test de Pearson","Le test de Shapiro-Wilk","A"
"Pourquoi utiliser un test de Mann-Whitney ?","statistiques","intermédiaire","Pour comparer deux groupes sans supposer la normalité","Pour mesurer la variance","Pour estimer la kurtosis","Pour vérifier la linéarité","Pour calculer une moyenne","A"
"À quoi sert le théorème de Bayes en pratique ?","probabilités","intermédiaire","À mettre à jour une probabilité après observation d’un événement","À calculer une moyenne","À vérifier la normalité","À comparer deux variances","À estimer une proportion","A"
"Quel paramètre unique caractérise la loi de Poisson ?","probabilités","facile","Lambda, le taux d’événement par unité de temps ou d’espace","La moyenne et la variance","Le paramètre mu","Le paramètre sigma","Le paramètre alpha","A"
"Pourquoi standardiser une variable avant une analyse multivariée ?","statistiques","intermédiaire","Pour comparer des variables de différentes échelles","Pour réduire la variance à zéro","Pour augmenter la kurtosis","Pour centrer la médiane","Pour maximiser la skewness","A"
"Dans quel cas utilise-t-on la corrélation de Spearman ?","statistiques","intermédiaire","Pour mesurer une association monotone entre deux variables ordinales","Pour vérifier la normalité","Pour comparer deux moyennes","Pour estimer une proportion","Pour mesurer la variance","A"
"Quelle est la différence entre la corrélation de Spearman et de Pearson ?","statistiques","avancé","Spearman mesure la monotonie, Pearson la linéarité","Aucune différence","Pearson s’applique aux variables ordinales uniquement","Spearman exige la normalité","Pearson ne mesure pas la force de l’association","A"
"Dans quel cas privilégier la corrélation de Kendall ?","statistiques","avancé","Pour évaluer la concordance entre deux classements","Pour mesurer la variance","Pour vérifier la normalité","Pour comparer deux moyennes","Pour estimer une proportion","A"
"Quel est l’intérêt d’un test non paramétrique ?","statistiques","intermédiaire","Il ne suppose pas de distribution normale des données","Il exige la normalité stricte","Il ne s’applique qu’aux variables continues","Il maximise la variance","Il impose la symétrie","A"
"Quel est le principe du théorème central limite ?","statistiques","intermédiaire","La moyenne d’échantillons indépendants tend vers une loi normale","La variance devient nulle pour n grand","La médiane converge vers zéro","La distribution reste inchangée","La moyenne devient la variance","A"
"Pourquoi le théorème central limite est-il important en statistique ?","statistiques","intermédiaire","Il permet d’utiliser l’approximation normale pour des sommes de variables","Il impose la normalité des données brutes","Il garantit l’absence d’outliers","Il supprime la variance","Il impose la symétrie des distributions","A"
"Dans quelles conditions le théorème central limite s’applique-t-il ?","statistiques","avancé","Pour des échantillons indépendants et de taille suffisante","Uniquement pour des variables qualitatives","Pour des échantillons de taille 2","Pour des distributions uniformes uniquement","Pour des données sans variance","A"
"Que permet de conclure le théorème central limite pour les estimateurs ?","statistiques","avancé","Leur distribution tend vers la normale sous certaines conditions","Ils sont toujours sans biais","Leur variance est nulle","Ils sont toujours robustes aux outliers","Ils sont toujours symétriques","A"
"Qu’est-ce qu’un échantillon aléatoire simple ?","statistiques","facile","Un échantillon où chaque individu a la même probabilité d’être choisi","Un échantillon de convenance","Un échantillon stratifié","Un échantillon en grappes","Un échantillon biaisé","A"
"Pourquoi utiliser un échantillonnage stratifié ?","statistiques","intermédiaire","Pour garantir la représentativité de sous-groupes dans la population","Pour maximiser la variance","Pour éviter toute pondération","Pour réduire la taille de l’échantillon","Pour imposer la normalité","A"
"Comment construit-on un échantillon stratifié ?","statistiques","intermédiaire","En divisant la population en strates homogènes puis en tirant au hasard dans chaque strate","En tirant au hasard dans toute la population sans distinction","En sélectionnant uniquement les extrêmes","En regroupant par proximité géographique uniquement","En choisissant les plus âgés","A"
"Quel est l’avantage principal d’un échantillon stratifié ?","statistiques","intermédiaire","Il réduit la variance des estimateurs pour une taille donnée","Il impose la normalité des données","Il supprime les biais de sélection","Il garantit l’indépendance des observations","Il maximise la taille de l’échantillon","A"
"Qu’est-ce qu’un échantillon en grappes ?","statistiques","intermédiaire","Un échantillon où des groupes entiers sont tirés au hasard","Un échantillon où chaque individu est tiré indépendamment","Un échantillon stratifié","Un échantillon de convenance","Un échantillon systématique","A"
"Pourquoi la taille de l’échantillon est-elle importante ?","statistiques","facile","Elle influence la précision des estimations et la puissance des tests","Elle n’a aucun impact sur les résultats","Elle impose la normalité","Elle supprime les biais","Elle maximise la variance","A"
"Qu’est-ce que le biais d’échantillonnage ?","statistiques","intermédiaire","Une différence systématique entre l’échantillon et la population cible","Une variance nulle dans l’échantillon","Une normalité automatique","Un effet de la taille uniquement","Un effet de la médiane","A"
"Pourquoi utiliser la pondération dans les enquêtes par sondage ?","statistiques","avancé","Pour corriger la non-représentativité de l’échantillon","Pour augmenter la variance","Pour imposer la normalité","Pour réduire la taille de l’échantillon","Pour maximiser la médiane","A"
"Qu’est-ce qu’une analyse biographique de carrière en sociologie ?","sociologie","intermédiaire","Une étude des trajectoires individuelles sur le temps","Une analyse de réseaux sociaux uniquement","Une analyse de variance","Une étude de la normalité des revenus","Une analyse de la médiane des âges","A"
"Quel est l’objectif principal d’une analyse biographique ?","sociologie","intermédiaire","Comprendre les séquences d’événements et transitions dans les parcours de vie","Mesurer la variance des salaires","Comparer des moyennes de groupes","Analyser la normalité des distributions","Maximiser la taille des échantillons","A"
"Quelle méthode est souvent utilisée pour analyser des données biographiques ?","sociologie","avancé","Les modèles de transition ou d’états multiples","La régression linéaire simple","L’analyse factorielle des correspondances","Le clustering hiérarchique uniquement","La méthode de Kruskal-Wallis","A"
"Pourquoi les données biographiques sont-elles souvent censurées ?","sociologie","avancé","Parce que certains événements ne sont pas observés pendant la période d’étude","Parce que la variance est nulle","Parce que la normalité est imposée","Parce que tous les individus sont observés jusqu’à la fin","Parce que la médiane est toujours connue","A"
"Qu’est-ce que le modèle de Bass en diffusion de l’innovation ?","marketing","intermédiaire","Un modèle mathématique décrivant l’adoption d’une innovation dans une population","Un modèle de régression linéaire","Un modèle de clustering","Un modèle de réseaux sociaux uniquement","Un modèle de variance des ventes","A"
"Quels sont les deux paramètres clés du modèle de Bass ?","marketing","intermédiaire","Le coefficient d’innovation et le coefficient d’imitation","La moyenne et la variance","Le taux de churn et le taux de conversion","Le nombre de segments et la taille du marché","Le score de clustering","A"
"Que prédit le modèle de Bass ?","marketing","intermédiaire","La courbe d’adoption cumulative d’une innovation dans le temps","La variance des ventes","La normalité des revenus","La médiane des prix","Le taux de satisfaction","A"
"Dans le modèle de Bass, qui sont les innovateurs ?","marketing","intermédiaire","Les premiers adoptants indépendants de l’influence sociale","Les individus qui imitent les autres","Les clients fidèles uniquement","Les leaders d’opinion uniquement","Les non-adoptants","A"
"Qu’est-ce qu’un modèle de marketing mix ?","marketing","intermédiaire","Un modèle qui évalue l’impact des différents leviers marketing sur les ventes","Un modèle de diffusion d’innovation uniquement","Un modèle de réseaux sociaux","Un modèle de variance des prix","Un modèle de satisfaction client uniquement","A"
"Quels sont les principaux leviers du marketing mix traditionnel ?","marketing","facile","Produit, Prix, Place, Promotion (4P)","Produit, Processus, Personnes, Preuve physique","Produit, Prix, Packaging, Publicité","Produit, Prix, Partenariat, Performance","Produit, Prix, Planification, Promotion","A"
"Pourquoi utiliser un modèle de marketing mix ?","marketing","intermédiaire","Pour optimiser l’allocation budgétaire entre les canaux marketing","Pour maximiser la variance des ventes","Pour imposer la normalité des prix","Pour réduire la taille du marché","Pour augmenter la médiane des revenus","A"
"Quel est l’avantage d’un modèle de marketing mix basé sur les données ?","marketing","avancé","Il permet de mesurer l’effet réel de chaque levier sur les ventes","Il impose la normalité des ventes","Il supprime les biais de sélection","Il garantit l’indépendance des canaux","Il maximise la variance des prix","A"
"Qu’est-ce qu’une expérience aléatoire contrôlée ?","méthodes expérimentales","facile","Une expérience où les participants sont assignés au hasard aux groupes","Une enquête par questionnaire uniquement","Une analyse de variance","Une étude de cas unique","Une analyse de réseaux","A"
"Pourquoi utiliser un groupe témoin dans une expérience ?","méthodes expérimentales","facile","Pour comparer l’effet du traitement à une situation sans intervention","Pour maximiser la variance","Pour imposer la normalité","Pour réduire la taille de l’échantillon","Pour augmenter la médiane","A"
"Qu’est-ce qu’un effet placebo ?","méthodes expérimentales","facile","Un effet observé chez des participants recevant un traitement inactif","Un effet mesuré uniquement dans le groupe traité","Un biais de sélection","Une variance nulle","Une normalité imposée","A"
"Quelle est la différence entre une expérience en laboratoire et sur le terrain ?","méthodes expérimentales","intermédiaire","Le contrôle des conditions est plus fort en laboratoire","La variance est plus grande en laboratoire","La normalité est imposée sur le terrain","La médiane est toujours plus élevée sur le terrain","La taille de l’échantillon est nulle en laboratoire","A"
"Pourquoi randomiser l’affectation des participants ?","méthodes expérimentales","intermédiaire","Pour éviter les biais de sélection et garantir la comparabilité des groupes","Pour maximiser la variance","Pour imposer la normalité","Pour réduire la taille de l’échantillon","Pour augmenter la médiane","A"
"Qu’est-ce qu’un plan factoriel ?","méthodes expérimentales","intermédiaire","Un plan qui étudie l’effet de plusieurs facteurs et leurs interactions","Un plan avec un seul facteur uniquement","Un plan de variance nulle","Un plan de normalité imposée","Un plan de médiane constante","A"
"Qu’est-ce qu’un effet principal dans un plan factoriel ?","méthodes expérimentales","intermédiaire","L’effet d’un facteur indépendamment des autres","L’effet de la variance uniquement","L’effet de la normalité uniquement","L’effet de la médiane uniquement","L’effet de la taille d’échantillon uniquement","A"
"Pourquoi utiliser des mesures répétées dans une expérience ?","méthodes expérimentales","intermédiaire","Pour observer l’évolution d’un même individu dans différentes conditions","Pour maximiser la variance","Pour imposer la normalité","Pour réduire la taille de l’échantillon","Pour augmenter la médiane","A"
"Qu’est-ce qu’un effet d’interaction ?","méthodes expérimentales","intermédiaire","Un effet où l’influence d’un facteur dépend du niveau d’un autre facteur","Un effet de variance uniquement","Un effet de normalité uniquement","Un effet de médiane uniquement","Un effet de taille d’échantillon uniquement","A"
"Qu’est-ce qu’un effet Hawthorne ?","méthodes expérimentales","avancé","Une modification du comportement des participants du fait d’être observés","Un effet de variance uniquement","Un effet de normalité uniquement","Un effet de médiane uniquement","Un effet de taille d’échantillon uniquement","A"
"Pourquoi utiliser la double insu (double aveugle) ?","méthodes expérimentales","avancé","Pour éviter les biais d’observateur et de participant","Pour maximiser la variance","Pour imposer la normalité","Pour réduire la taille de l’échantillon","Pour augmenter la médiane","A"
"Qu’est-ce qu’un effet de régression à la moyenne ?","méthodes expérimentales","avancé","La tendance des valeurs extrêmes à se rapprocher de la moyenne lors de mesures répétées","Un effet de variance uniquement","Un effet de normalité uniquement","Un effet de médiane uniquement","Un effet de taille d’échantillon uniquement","A"
"Qu’est-ce qu’un effet de contamination dans une expérience ?","méthodes expérimentales","avancé","Une influence du groupe traité sur le groupe témoin ou inversement","Un effet de variance uniquement","Un effet de normalité uniquement","Un effet de médiane uniquement","Un effet de taille d’échantillon uniquement","A"
"Pourquoi utiliser des analyses d’intention de traiter ?","méthodes expérimentales","avancé","Pour conserver la comparabilité initiale des groupes même en cas de non-respect du protocole","Pour maximiser la variance","Pour imposer la normalité","Pour réduire la taille de l’échantillon","Pour augmenter la médiane","A"
"Qu’est-ce qu’un biais de publication ?","méthodes expérimentales","avancé","La tendance à publier préférentiellement les résultats positifs ou significatifs","Un effet de variance uniquement","Un effet de normalité uniquement","Un effet de médiane uniquement","Un effet de taille d’échantillon uniquement","A"
"Pourquoi normaliser les données avant un clustering ?","statistiques","intermédiaire","Pour éviter qu’une variable domine la distance","Pour réduire la variance à zéro","Pour augmenter la kurtosis","Pour centrer la médiane","Pour maximiser la skewness","A"
"À quoi sert la centralité d’intermédiarité dans un réseau ?","analyse de réseaux","intermédiaire","À identifier les nœuds jouant un rôle de passage clé entre groupes","À mesurer la variance des liens","À vérifier la normalité","À estimer la proportion","À calculer la moyenne des poids","A"
"Quel algorithme trouve le chemin le plus court dans un graphe pondéré ?","analyse de réseaux","intermédiaire","Dijkstra","Kruskal","Prim","PageRank","Louvain","A"
"Qu’est-ce qu’un graphe orienté acyclique (DAG) ?","analyse de réseaux","intermédiaire","Un réseau orienté sans cycles","Un réseau sans liens","Un réseau avec des cycles uniquement","Un réseau avec des poids négatifs uniquement","Un réseau avec des nœuds isolés uniquement","A"
"Pourquoi utiliser la détection de communautés dans un réseau ?","analyse de réseaux","intermédiaire","Pour regrouper des nœuds fortement connectés entre eux","Pour maximiser la variance des liens","Pour vérifier la normalité","Pour estimer la proportion","Pour calculer la moyenne des poids","A"
"Quel est le principe de l’algorithme de Louvain ?","analyse de réseaux","avancé","Optimiser la modularité pour détecter des communautés","Calculer le plus court chemin","Mesurer la centralité de degré","Maximiser la variance des liens","Minimiser la moyenne des poids","A"
"Qu’est-ce que la centralité d’éigenvector ?","analyse de réseaux","avancé","Une mesure de l’influence d’un nœud selon l’importance de ses voisins","Une mesure de la variance des liens","Une mesure de la normalité","Une mesure de la moyenne des poids","Une mesure de la dispersion des cycles","A"
"Dans un réseau, que mesure le clustering coefficient ?","analyse de réseaux","intermédiaire","Le degré de regroupement local des nœuds","La variance des liens","La normalité des poids","La moyenne des cycles","La dispersion des degrés","A"
"Pourquoi s’intéresser aux motifs (motifs de réseau) ?","analyse de réseaux","avancé","Pour détecter des structures récurrentes significatives","Pour maximiser la variance des liens","Pour vérifier la normalité","Pour estimer la proportion","Pour calculer la moyenne des poids","A"
"Qu’est-ce qu’un réseau biparti ?","analyse de réseaux","intermédiaire","Un réseau composé de deux ensembles de nœuds sans liens internes","Un réseau sans cycles","Un réseau avec des liens négatifs uniquement","Un réseau avec des nœuds isolés uniquement","Un réseau avec des poids uniquement","A"
"Quel est l’intérêt d’un réseau scale-free ?","analyse de réseaux","avancé","Il modélise des systèmes où quelques nœuds concentrent la majorité des liens","Il n’a pas de cycles","Il possède uniquement des liens négatifs","Il n’a que des nœuds isolés","Il n’a que des poids positifs","A"
"Qu’est-ce qu’un réseau petit monde ?","analyse de réseaux","avancé","Un réseau où la distance moyenne entre nœuds est faible malgré une forte localité","Un réseau sans cycles","Un réseau avec des liens négatifs uniquement","Un réseau avec des nœuds isolés uniquement","Un réseau avec des poids uniquement","A"
"Quel est le rôle d’un réseau aléatoire en modélisation ?","analyse de réseaux","avancé","Servir de référence pour comparer des propriétés de réseaux réels","Maximiser la variance des liens","Vérifier la normalité","Estimer la proportion","Calculer la moyenne des poids","A"
